Problem facing with the application,Issue (in words)
Account Management,None
Account Management,Some fields may be modified
Account Management,Account error
Account Management,Account management needs some corrections
Account Management,Account management section needs correcrion
Account Management,Accounting issue
Account Management,Unable to reset password
Account Management,Cannot update my profile information
Account Management,Unable to add new payment method
Account Management,Profile picture won't update
Account Management,Cannot delete my account
Account Management,Unable to change email address
Account Management,Cannot change password
Account Management,Cannot delete saved payment method
Account Management,Cannot add new shipping address
Account Management,Unable to change account username
Account Management,Cannot change account password
Account Management,Cannot delete account
Account Management,Unable to add new payment method
Account Management,Unable to delete saved payment method
Account Management,Unable to remove saved billing address
Account Management,Cannot remove saved payment method
Account Management,Cannot change account password
Account Management,Cannot remove saved payment method
Account Management,Cannot delete saved payment method
Account Management,Cannot add new shipping address
Account Management,Cannot change account username
Account Management,Unable to change account password
Account Management,Unable to change email address
Account Management,Unable to delete account
Account Management,Cannot add new shipping address
Account Management,Cannot delete saved billing address
Account Management,Cannot change account password
Account Management,Cannot delete account
Account Management,Unable to change email address
Account Management,Cannot delete saved payment method
Account Management,Unable to remove saved billing address
Billing,None
Billing,None
Billing,The billing site is not working properly
Billing,Amount input can be modified.
Billing,Payment mode may be defined well.
Billing,Issue in checkout while billing
Billing,Incorrect charges on my account
Billing,Subscription not renewed automatically
Billing,Invoice not received for last month's usage
Billing,Double charged for my subscription
Billing,Payment failed error message despite sufficient funds
Billing,Account suspended despite payment
Billing,Charged for canceled subscription
Billing,Overcharged for a service
Billing,Charged twice for the same purchase
Billing,Payment processing error
Billing,Recurring payment not canceled despite request
Billing,Subscription plan not updated despite payment
Billing,Payment gateway error when trying to make a payment
Billing,Payment declined due to insufficient funds
Billing,Invoice does not reflect recent payment
Billing,Charged for a service I didn't subscribe to
Billing,Payment processing error
Billing,Payment declined due to expired credit card
Billing,Charged twice for the same purchase
Billing,Invoice does not reflect recent payment
Billing,Subscription plan not updated despite payment
Billing,Payment failed error message despite sufficient funds
Billing,Subscription not renewed automatically
Billing,Overcharged for a service
Billing,Payment gateway error when trying to make a payment
Billing,Charged for canceled subscription
Billing,Payment declined due to expired credit card
Billing,Subscription plan not updated despite payment
Billing,Payment failed error message despite sufficient funds
Billing,Charged twice for the same purchase
Technical,Not supporting
Technical,Refreshing problem
Technical,I faced some technical issue some glitches are there
Technical,Seems slow
Technical,May contain more fields.
Technical,calculation instruction may be changed.
Technical,Billing section must be corrected
Technical,Some more fields are required
Technical,Technical issue
Technical,"Every time I try to use the service, I have to login again and again. So it would be better if I am permanently logged in."
Technical,Technical issues
Technical,App crashes when I try to upload a file
Technical,Videos won't play on the app
Technical,App freezes when I try to access certain features
Technical,App crashes on startup
Technical,Slow performance on the app
Technical,Error message when trying to submit a support ticket
Technical,Missing features after app update
Technical,App crashes when trying to access account settings
Technical,App not compatible with my device
Technical,App crashes when trying to apply a discount code
Technical,Error message when trying to update billing information
Technical,App crashes when trying to view order history
Technical,App crashes when trying to access certain features
Technical,App freezes when trying to update profile picture
Technical,Error message when trying to update account information
Technical,App crashes when trying to update profile information
Technical,App crashes on startup
Technical,App freezes when trying to update profile picture
Technical,App crashes when trying to update account information
Technical,App freezes when trying to access certain features
Technical,Error message when trying to submit a support ticket
Technical,App crashes when trying to view order history
Technical,Error message when trying to apply a discount code
Technical,App not compatible with my device
Technical,Error message when trying to submit a support ticket
Technical,Error message when trying to update account information
Technical,Error message when trying to update profile picture
Technical,Error message when trying to submit a support ticket
Technical,App crashes when trying to view order history
Technical,Error message when trying to update billing information
Technical,Error message when trying to update billing information
Account Management,Unable to access account
Account Management,Account information incorrect
Account Management,Account login issue
Account Management,Account settings not saving
Account Management,Account profile not updating
Account Management,Account balance discrepancy
Account Management,Unable to recover account
Account Management,Account transaction history missing
Account Management,Account payment method not working
Account Management,Account profile information incorrect
Account Management,Account closure request not processed
Account Management,Unable to verify account ownership
Account Management,Account password reset not working
Account Management,Saved payment method not available
Account Management,Unable to change account settings
Account Management,Account username change not reflecting
Account Management,Account password change not successful
Account Management,Account closure process not initiated
Account Management,Payment method addition not available
Account Management,Saved payment method deletion not working
Technical,Login not working
Technical,Sign-in page error
Technical,Unable to sign up
Technical,Sign-in button not responsive
Technical,Login credentials not recognized
Technical,Sign-up form not submitting
Technical,Unable to reset password
Technical,Login page keeps reloading
Technical,Sign-in error message persists
Technical,Sign-up verification email not received
Technical,Forgotten password link not working
Technical,Unable to create account with existing email
Technical,Login session timeout too short
Technical,Sign-up page formatting issue on mobile
Technical,Error message when attempting to change password
Technical,Sign-in page not loading
Technical,Account creation captcha not displaying
Technical,Incorrect email format error not displayed
Technical,Sign-in with Google button not working
Technical,Password strength requirements not clear
Technical,Account activation email not received
Technical,Error when attempting to log in with Facebook
Technical,Unable to reset password via email link
Technical,Account activation link expired
Technical,Sign-up page terms and conditions link broken
Technical,Password recovery email not sent
Technical,Error message when trying to log in after sign-up
Technical,Account locked after multiple failed login attempts
Technical,Error when trying to update account settings
Technical,Unable to create account with special characters in password
Technical,Account deletion confirmation email not received
Technical,Error when trying to log in with Apple ID
Technical,Sign-up page stuck on loading spinner
Technical,Password reset link expired
Technical,Unable to log in on new device without verification code
Technical,Sign-up confirmation page blank after submission
Technical,Account creation form submission error
Technical,Unable to sign in after password reset
Technical,Sign-in page CSS formatting issue
Technical,Error message when attempting to log in with LinkedIn
Technical,Password recovery link not clickable in email
Technical,Sign-up confirmation email in spam folder
Technical,Error message when trying to log in after account creation
Technical,Account settings not saving changes
Technical,Sign-in page keeps redirecting to homepage
Technical,Error when trying to log in with Twitter
Technical,Password change form not submitting
Technical,Error when trying to retrieve security questions for password reset
Technical,Account deletion error message not clear
Technical,Error message when attempting to log in from different timezone
Technical,Sign-up form accepting invalid email format
Technical,Account settings page showing incorrect information
Technical,Unable to log in after password change
Technical,Error when attempting to log in after account suspension
Technical,Password reset link not working
Technical,Unable to sign in after account deletion
Technical,Sign-up form not accepting valid password format
Technical,Account locked without warning
Technical,Error message when attempting to log in after account deletion
Technical,Unable to change password
Technical,Error when attempting to log in after password reset
Technical,Account suspended without explanation
Technical,Unable to sign in after account suspension
Technical,Account suspended for unknown reason
Technical,Unable to sign in with correct credentials
Technical,Error when attempting to log in after email change
Technical,Unable to sign in with correct credentials
Billing,Payment confirmation email not received
Billing,Incorrect billing address entered during checkout
Billing,Subscription plan upgraded without authorization
Billing,Payment receipt shows incorrect amount
Billing,Unable to add new payment method
Billing,Billing statement not available in account dashboard
Billing,Automatic payment failed due to bank authorization
Billing,Payment processed but service not activated
Billing,Incorrect VAT charges on invoice
Billing,Payment confirmation page freezes during checkout
Billing,Invoice not generated for recent subscription renewal
Billing,Monthly subscription fee increased without notice
Billing,Incorrect currency conversion applied to payment
Billing,Payment receipt not accessible in account portal
Billing,Difficulty accessing billing history
Billing,Monthly statement not emailed as expected
Billing,Overcharged for previous month's usage
Billing,Difficulty canceling auto-renewal
Billing,Payment confirmation email sent to wrong address
Billing,Payment receipt contains incorrect billing period
Billing,Payment processing error
Billing,Duplicate charges on credit card statement
Billing,Monthly subscription fee not reflected in account
Billing,Payment receipt missing from email inbox
Account Management ,Unable to change account password
Account Management ,Accounting issue
Account Management ,Account profile not updating
Account Management ,Some fields may be modified
Account Management ,Payment method addition not available
Technical ,Account activation email not received
Billing ,None
Account Management ,Account error
Account Management ,Saved payment method not available
Technical ,Account suspended without explanation
Account Management ,Cannot change account password
Account Management ,Unable to change account settings
Billing ,Incorrect billing address entered during checkout
Account Management ,Payment method addition not available
Billing ,Payment receipt shows incorrect amount
Billing ,Duplicate charges on credit card statement
Technical ,Error message when trying to submit a support ticket
Billing ,Subscription plan not updated despite payment
Technical ,App crashes when trying to apply a discount code
Account Management ,Account transaction history missing
Technical ,Sign-in with Google button not working
Billing ,None
Billing ,Payment receipt missing from email inbox
Technical ,Password change form not submitting
Technical ,Sign-up verification email not received
Account Management ,Cannot change account password
Account Management ,Account password reset not working
Technical ,Sign-up form not submitting
Account Management ,Cannot delete saved billing address
Billing ,Payment gateway error when trying to make a payment
Billing ,Payment processing error
Technical ,Password recovery link not clickable in email
Technical ,Unable to sign in with correct credentials
Account Management ,Account profile information incorrect
Technical ,Forgotten password link not working
Technical ,App freezes when I try to access certain features
Account Management ,Account closure process not initiated
Technical ,Account settings not saving changes
Account Management ,Cannot delete account
Account Management ,Cannot remove saved payment method
Account Management ,Cannot delete saved payment method
Account Management ,Payment method addition not available
Billing ,Invoice does not reflect recent payment
Billing ,Issue in checkout while billing
Technical ,Sign-up page terms and conditions link broken
Technical ,Unable to reset password
Technical ,App freezes when trying to update profile picture
Billing ,The billing site is not working properly
Account Management ,Payment method addition not available
Technical ,Sign-up page formatting issue on mobile
Billing ,Payment gateway error when trying to make a payment
Account Management ,Unable to verify account ownership
Billing ,Payment gateway error when trying to make a payment
